,Temp,Lat,Humid,Cloud,Wind
castro,-0.78,-42.48,100.0,0.0,2.52
celestun,28.08,20.87,99.0,8.0,7.92
chandbali,29.83,20.77,98.0,92.0,3.02
chapais,16.0,49.78,59.0,1.0,3.6
chara,22.0,39.42,56.0,0.0,2.1
charters towers,17.93,-20.07,46.0,0.0,4.77
chepareria,9.88,1.32,90.0,12.0,0.42
cherskiy,1.58,68.75,95.0,92.0,4.57
chicama,17.0,-7.84,88.0,90.0,3.6
chokurdakh,7.03,70.62,87.0,0.0,3.92
chumikan,19.23,54.72,76.0,0.0,1.12
chuy,8.88,-33.69,87.0,100.0,7.82
cidreira,13.43,-30.17,95.0,92.0,5.12
clacton-on-sea,18.68,51.79,88.0,48.0,2.6
clyde river,7.0,70.47,81.0,1.0,5.1
coahuayana,18.53,18.62,91.0,24.0,0.97
coari,22.73,-4.09,99.0,32.0,1.12
codrington,15.73,-28.95,35.0,0.0,4.02
comodoro rivadavia,7.0,-45.87,48.0,0.0,3.87
conde,23.33,-11.81,94.0,68.0,3.62
coquimbo,9.0,-29.95,93.0,0.0,1.0
crotone,13.0,39.09,93.0,90.0,5.1
cururupu,24.58,-1.82,86.0,0.0,3.12
dallas,30.5,32.78,62.0,75.0,3.1
damghan,19.33,36.17,66.0,0.0,3.67
daru,21.63,7.99,99.0,92.0,2.72
dasoguz,18.0,41.84,88.0,0.0,5.1
daura,23.08,13.04,90.0,0.0,5.27
dauriya,20.63,49.93,76.0,0.0,2.92
de aar,3.08,-30.65,48.0,56.0,2.32
desdunes,23.03,19.3,100.0,44.0,1.62
diamantino,23.68,-14.4,60.0,76.0,0.37
digby,17.58,44.62,81.0,76.0,3.87
dikson,7.43,73.51,94.0,92.0,5.07
dingle,27.53,11.0,87.0,76.0,4.52
doha,33.0,25.29,52.0,0.0,1.5
dongying,25.13,37.43,99.0,92.0,5.67
dunda,18.18,30.62,97.0,0.0,0.82
dunedin,7.78,-45.87,83.0,12.0,5.42
east london,18.43,-33.02,100.0,68.0,7.67
edmundston,19.19,47.36,52.0,1.0,1.62
edson,19.0,53.59,34.0,1.0,3.6
erenhot,25.78,43.65,52.0,0.0,5.22
erzin,25.6,36.95,83.0,20.0,1.17
esmeraldas,17.1,-19.76,72.0,0.0,1.5
esperance,27.0,10.24,83.0,20.0,3.1
esterhazy,13.83,50.65,63.0,0.0,2.97
eureka,15.0,40.8,82.0,1.0,5.1
ewa beach,29.66,21.32,74.0,75.0,4.6
faanui,26.33,-16.48,100.0,80.0,2.62
fairbanks,19.35,64.84,52.0,20.0,1.5
fairlie,28.44,33.31,70.0,1.0,3.1
faya,18.48,18.39,55.0,0.0,1.42
flinders,13.0,-34.58,30.0,0.0,7.7
floro,11.0,61.6,93.0,92.0,2.1
fortuna,22.5,38.18,83.0,0.0,2.1
fortuna foothills,41.0,32.66,30.0,1.0,5.1
fremont,20.13,37.55,77.0,1.0,3.6
gat,24.53,14.69,87.0,12.0,3.62
gazli,27.33,40.13,37.0,0.0,6.22
general roca,4.0,-39.03,60.0,0.0,1.0
georgetown,25.0,6.8,94.0,40.0,2.1
geraldton,20.0,49.72,88.0,90.0,2.12
gijon,18.0,43.54,93.0,0.0,1.5
gloucester,17.01,51.87,93.0,20.0,2.6
goundam,25.33,16.42,87.0,0.0,4.82
grand gaube,21.0,-20.01,88.0,75.0,7.7
guerrero negro,23.68,27.97,83.0,8.0,4.82
hambantota,25.73,6.12,99.0,88.0,8.27
hami,30.83,42.84,33.0,8.0,3.22
hamilton,27.0,32.3,74.0,20.0,3.1
hasaki,23.3,35.73,78.0,75.0,4.1
havre-saint-pierre,10.0,50.23,81.0,20.0,1.32
hengshui,25.18,37.73,88.0,36.0,8.77
hermanus,9.03,-34.42,100.0,92.0,1.37
heze,26.93,35.25,77.0,32.0,8.77
hilo,22.36,19.71,78.0,90.0,2.6
hirara,29.51,24.8,83.0,40.0,3.6
hithadhoo,26.88,-0.6,100.0,80.0,4.77
hobart,6.0,-42.88,75.0,75.0,6.2
hualmay,13.73,-11.1,95.0,56.0,1.97
huarmey,15.03,-10.07,78.0,44.0,1.57
husavik,17.38,50.56,75.0,12.0,5.22
igunga,16.83,-4.28,60.0,0.0,4.67
ilebo,22.08,-4.33,90.0,0.0,1.32
ilulissat,5.0,69.22,65.0,75.0,0.5
invermere,10.48,50.51,99.0,56.0,0.47
iqaluit,8.0,63.75,81.0,90.0,9.3
iralaya,27.73,15.0,86.0,100.0,3.92
isangel,22.53,-19.55,100.0,92.0,4.07
itumba,13.68,-9.4,75.0,0.0,4.22
jaleswar,27.28,21.8,100.0,88.0,2.17
jamestown,11.33,-33.21,66.0,0.0,2.87
jasper,24.31,33.83,100.0,92.0,1.82
jiuquan,17.48,39.73,81.0,48.0,1.22
joshimath,3.38,30.57,100.0,20.0,0.62
juba,15.0,57.82,100.0,90.0,2.6
juneau,19.45,58.3,45.0,75.0,2.6
junnar,21.68,19.21,98.0,92.0,3.42
kabanjahe,27.0,3.1,78.0,40.0,1.0
kachiry,23.48,53.07,53.0,64.0,5.67
kahului,28.88,20.89,55.0,40.0,6.7
kaitangata,9.18,-46.28,77.0,48.0,6.82
kambove,11.98,-10.88,55.0,0.0,2.97
kapaa,28.47,22.08,83.0,90.0,5.1
kathu,4.48,-27.7,63.0,0.0,1.07
katsuura,26.0,33.93,69.0,75.0,3.1
kattivakkam,29.0,13.22,66.0,40.0,4.1
kavaratti,27.83,10.57,96.0,64.0,9.57
kavieng,29.78,-2.57,98.0,8.0,4.72
kenai,16.52,60.55,82.0,75.0,8.2
ketchikan,20.45,55.34,46.0,1.0,6.2
khasan,22.73,42.43,90.0,92.0,3.62
khatanga,9.28,71.98,100.0,88.0,3.22
kihei,28.9,20.76,55.0,40.0,6.7
kirn,16.19,49.79,77.0,0.0,2.1
klaksvik,10.0,62.23,93.0,56.0,1.5
kloulklubed,26.0,7.04,88.0,75.0,2.1
kodiak,20.0,39.95,100.0,90.0,6.2
kodinsk,23.83,58.6,62.0,0.0,1.47
kontagora,21.18,10.4,100.0,92.0,2.72
kortkeros,12.0,61.81,93.0,40.0,2.0
krasnyy yar,10.08,50.7,80.0,0.0,1.22
kresttsy,15.83,58.25,98.0,88.0,2.67
kruisfontein,15.03,-34.0,99.0,92.0,4.52
kudahuvadhoo,27.28,2.67,100.0,48.0,5.72
kungurtug,14.38,50.6,57.0,56.0,2.22
kununurra,27.0,-15.77,14.0,0.0,6.2
kupang,31.0,-10.16,43.0,20.0,5.1
kuryk,20.98,43.18,66.0,8.0,5.77
kushiro,24.0,43.11,64.0,20.0,5.7
kyabe,21.08,9.45,95.0,88.0,3.57
kysyl-syr,18.28,63.9,91.0,76.0,1.57
la ronge,14.0,55.1,76.0,20.0,1.0
la rosa,9.18,-34.33,91.0,0.0,2.52
lagoa,25.0,37.14,65.0,0.0,1.5
laguna,32.0,27.52,52.0,75.0,2.1
las choapas,28.0,17.91,74.0,40.0,5.1
lata,18.18,30.78,97.0,0.0,0.82
lavrentiya,7.83,65.58,95.0,92.0,5.67
lebu,11.0,8.96,93.0,40.0,3.1
leeton,10.83,-34.55,85.0,8.0,4.57
leningradskiy,4.78,69.38,96.0,88.0,3.97
letlhakane,11.53,-21.42,81.0,0.0,1.87
lexington,24.77,38.05,100.0,75.0,1.52
linhares,15.98,-19.38,93.0,0.0,1.97
linxia,17.43,35.6,88.0,24.0,1.32
listvyanka,19.0,51.86,72.0,0.0,1.0
lloydminster,18.0,53.28,48.0,75.0,2.6
lodja,22.13,-3.52,89.0,64.0,1.77
lompoc,18.85,34.64,77.0,1.0,4.1
longyearbyen,6.0,78.22,75.0,75.0,3.6
lorengau,29.08,-2.02,98.0,24.0,5.82
los llanos de aridane,23.0,28.66,69.0,56.0,5.1
luanda,22.0,-8.83,83.0,75.0,2.1
lubango,9.73,-14.92,90.0,0.0,0.42
luderitz,10.03,-26.65,95.0,80.0,2.97
luganville,26.23,-15.51,100.0,20.0,3.87
maceio,23.0,-9.67,83.0,75.0,3.1
mackenzie,22.0,55.34,19.0,1.0,4.1
madalag,29.88,11.53,68.0,36.0,2.12
mahebourg,21.0,-20.41,88.0,75.0,7.7
makakilo city,29.66,21.35,66.0,20.0,3.6
makat,17.18,47.65,47.0,0.0,6.12
mamit,27.98,23.92,90.0,48.0,1.17
manacapuru,23.93,-3.3,95.0,44.0,0.92
manaus,23.49,-3.13,94.0,40.0,1.0
mandalgovi,16.93,45.76,82.0,0.0,3.52
mangrol,25.58,25.33,97.0,92.0,4.57
manicore,23.23,-5.81,97.0,32.0,0.92
maniitsoq,5.68,65.42,97.0,92.0,2.97
manoel urbano,25.73,-8.84,82.0,32.0,0.87
manta,15.83,45.1,85.0,32.0,1.27
mar del plata,3.33,-46.43,82.0,0.0,3.02
marawi,28.48,8.0,61.0,44.0,1.52
margate,6.0,-43.03,75.0,75.0,6.2
marsaxlokk,24.0,35.84,83.0,20.0,1.0
marsh harbour,28.98,26.54,98.0,8.0,4.87
marzuq,18.53,14.4,63.0,8.0,1.12
mason city,22.34,43.15,94.0,1.0,2.6
mastic beach,19.99,40.77,60.0,75.0,6.7
mataura,7.03,-46.19,80.0,68.0,1.87
mecca,23.53,21.43,84.0,0.0,1.32
medina del campo,14.0,41.31,82.0,0.0,4.12
mehamn,8.53,71.03,100.0,92.0,5.12
memphis,27.2,35.15,78.0,90.0,3.6
merauke,29.88,-8.49,67.0,0.0,7.02
mikkeli,6.0,61.69,100.0,20.0,3.07
mildura,12.08,-34.18,81.0,24.0,4.02
miles city,20.0,46.41,32.0,40.0,1.5
mnogovershinnyy,18.13,53.94,64.0,12.0,1.17
morales,25.93,8.28,85.0,44.0,2.87
moron,25.04,10.49,88.0,75.0,1.07
moroto,16.23,2.53,99.0,100.0,1.17
mount gambier,11.23,-37.83,81.0,92.0,4.22
mumford,23.28,5.26,92.0,36.0,4.02
mustasaari,14.0,63.17,54.0,8.0,3.1
muzhi,12.73,65.4,75.0,8.0,4.32
mwingi,13.98,-0.93,85.0,32.0,4.07
myitkyina,23.78,25.38,100.0,92.0,0.67
nachingwea,16.28,-10.37,91.0,0.0,1.67
nalut,22.88,31.86,61.0,0.0,2.32
namibe,17.03,-15.19,100.0,92.0,2.87
nanakuli,29.67,21.39,66.0,20.0,3.6
nanortalik,5.08,60.14,99.0,68.0,6.67
nanpara,29.53,27.87,80.0,12.0,6.57
nanyang,28.53,33.0,86.0,0.0,1.77
nanzhang,29.93,31.78,61.0,0.0,1.17
narasannapeta,25.58,18.42,95.0,80.0,1.77
narsaq,7.0,60.91,87.0,12.0,1.5
naryan-mar,15.23,67.67,70.0,92.0,8.17
necochea,6.33,-38.55,77.0,88.0,3.82
nehe,20.58,48.48,100.0,100.0,2.07
nelson bay,14.0,-32.72,33.0,40.0,7.7
nerchinskiy zavod,18.23,51.31,66.0,48.0,1.52
neuquen,4.0,-38.95,60.0,0.0,1.0
new glasgow,16.43,45.59,96.0,32.0,2.97
new norfolk,6.0,-42.78,75.0,75.0,6.2
ngunguru,16.23,-35.62,94.0,88.0,13.22
nhulunbuy,28.0,-12.18,45.0,20.0,10.8
nikolskoye,14.0,59.7,93.0,0.0,5.0
nome,29.03,30.04,78.0,1.0,3.6
norman wells,20.0,65.28,45.0,75.0,3.6
northam,17.0,51.04,100.0,92.0,4.6
nouadhibou,21.0,20.93,83.0,0.0,7.7
nuevo progreso,29.86,26.05,66.0,1.0,7.7
nuuk,5.0,64.17,100.0,64.0,5.1
nyurba,16.93,63.29,98.0,88.0,1.62
olga,26.64,34.11,83.0,75.0,4.6
olinda,24.0,-2.03,78.0,0.0,5.7
omboue,23.18,-1.57,100.0,92.0,4.22
opuwo,7.78,-18.06,66.0,0.0,1.47
oranjemund,13.43,-28.55,99.0,88.0,2.37
oshnaviyeh,19.0,37.04,48.0,40.0,6.2
ostroleka,14.53,53.09,87.0,0.0,1.22
ostrovnoy,11.23,68.05,80.0,0.0,6.87
ostuacan,23.33,17.42,87.0,12.0,0.52
paamiut,4.98,61.99,100.0,80.0,2.57
pacific grove,15.76,36.62,82.0,90.0,3.6
padang,28.88,-0.92,100.0,8.0,2.77
palmer,13.57,61.6,93.0,90.0,2.1
pangnirtung,7.38,66.15,70.0,56.0,4.82
parintins,28.18,-2.63,61.0,24.0,2.42
pasni,26.43,25.26,100.0,92.0,1.97
pattoki,31.38,31.02,88.0,0.0,2.02
payyannur,23.73,12.1,100.0,100.0,1.27
petropavlovsk-kamchatskiy,16.0,53.05,87.0,75.0,1.0
pevek,4.03,69.7,100.0,80.0,2.47
pierre,17.0,44.37,82.0,90.0,5.1
pingliang,23.53,35.54,82.0,36.0,1.72
pisco,17.0,-13.71,77.0,90.0,3.1
pitrufquen,2.83,-38.98,52.0,0.0,1.87
plainview,25.53,34.18,57.0,1.0,3.6
plastun,25.48,44.76,55.0,68.0,1.52
pochutla,28.0,15.74,65.0,75.0,3.67
ponta do sol,14.78,-20.63,77.0,8.0,2.12
port alfred,16.13,-33.59,100.0,80.0,4.77
port blair,28.18,11.67,96.0,68.0,8.62
port elizabeth,20.66,39.31,94.0,90.0,2.6
port hardy,13.0,50.7,87.0,90.0,1.5
port hedland,30.0,-20.31,9.0,0.0,8.7
port lincoln,13.33,-34.72,89.0,80.0,4.97
port macquarie,15.0,-31.43,72.0,0.0,8.7
port-cartier,9.0,50.03,87.0,40.0,1.5
portland,29.74,45.52,45.0,1.0,3.1
porto walter,25.33,-8.27,85.0,8.0,0.92
poum,12.63,41.28,82.0,12.0,0.77
prabumulih,31.98,-3.5,53.0,0.0,3.12
praia,17.46,-20.25,68.0,0.0,3.1
praia da vitoria,22.0,38.73,88.0,20.0,3.02
prainha,26.93,-1.8,72.0,24.0,2.02
presidencia roque saenz pena,8.83,-26.79,70.0,88.0,9.12
priekule,19.61,56.45,88.0,88.0,5.7
prince george,22.0,53.92,33.0,1.0,2.1
prince rupert,18.0,54.32,68.0,1.0,2.6
provideniya,11.0,64.42,71.0,75.0,5.0
puerto ayora,21.58,-0.74,100.0,8.0,5.32
puerto baquerizo moreno,22.03,-0.9,98.0,24.0,4.82
puerto colombia,28.0,10.99,88.0,75.0,5.1
puerto madryn,7.53,-42.77,78.0,0.0,8.87
punta arenas,7.0,-53.16,65.0,0.0,15.9
qaanaaq,3.93,77.48,90.0,0.0,2.57
quatre cocos,21.0,-20.21,88.0,75.0,7.7
qujing,20.78,25.49,95.0,36.0,1.77
rajula,25.73,21.04,97.0,48.0,4.92
ramtek,26.0,21.4,94.0,90.0,1.0
rancho palos verdes,24.87,33.75,83.0,75.0,4.6
raudeberg,11.0,61.99,93.0,92.0,2.1
rawson,1.13,-43.3,52.0,0.0,4.82
redencao,25.33,-8.35,85.0,8.0,0.92
ribeira brava,21.0,32.65,73.0,20.0,1.5
ribeira grande,23.83,38.52,100.0,8.0,2.57
richards bay,11.58,-28.77,92.0,0.0,1.32
rikitea,22.48,-23.12,100.0,36.0,3.37
rio gallegos,8.0,-51.62,39.0,0.0,8.7
riohacha,25.88,11.54,99.0,44.0,3.72
riosucio,21.0,5.42,83.0,40.0,3.1
road town,28.0,18.42,74.0,1.0,5.1
roald,10.41,62.58,81.0,88.0,3.1
robe,9.33,7.12,89.0,36.0,1.22
rocha,4.58,-34.48,87.0,0.0,4.57
rorvik,11.38,64.86,100.0,92.0,6.32
russell,5.0,-33.01,56.0,0.0,1.42
ruza,15.0,55.7,93.0,0.0,3.0
sabaudia,22.33,41.3,88.0,20.0,3.1
sadon,4.73,42.85,81.0,0.0,0.87
saint george,22.0,39.45,56.0,0.0,2.1
saint-francois,14.0,46.42,82.0,0.0,1.52
saint-philippe,20.54,45.36,77.0,1.0,3.1
saint-pierre,15.88,48.95,82.0,0.0,3.6
salalah,23.0,17.01,100.0,90.0,2.1
saldanha,16.08,41.42,62.0,0.0,3.07
salinopolis,26.83,-0.61,96.0,0.0,7.27
sampit,30.83,-2.54,73.0,0.0,4.27
san,22.93,13.3,96.0,88.0,3.72
san benito,14.73,6.13,98.0,0.0,1.12
san cristobal,10.0,-0.39,66.0,20.0,2.1
san dionisio del mar,27.38,16.32,100.0,80.0,3.62
san luis,0.23,-33.3,33.0,0.0,3.42
san quintin,27.0,17.54,83.0,90.0,4.1
santa cruz,18.16,36.97,93.0,90.0,3.6
santa maria,10.0,-29.69,93.0,90.0,3.1
santiago de cao,17.0,-7.96,88.0,90.0,3.6
santo amaro da imperatriz,18.0,-27.69,93.0,20.0,5.7
sao filipe,24.73,14.9,100.0,32.0,4.02
sao geraldo do araguaia,22.38,-6.4,83.0,24.0,2.07
sao joao da barra,22.13,-21.64,100.0,36.0,3.77
sasina,21.0,49.51,56.0,0.0,1.0
saskylakh,11.63,71.97,84.0,76.0,2.07
scarborough,15.97,54.28,93.0,76.0,0.5
seoul,30.35,37.57,46.0,75.0,4.6
severo-kurilsk,11.18,50.68,98.0,88.0,12.02
shache,25.08,38.42,39.0,0.0,2.07
shaoyang,30.83,27.23,84.0,0.0,1.52
shingu,29.0,33.72,66.0,75.0,1.5
siavonga,17.33,-16.54,76.0,0.0,3.47
sibolga,28.23,1.74,66.0,12.0,1.02
sibu,29.0,2.29,74.0,75.0,2.1
sidareja,29.23,-7.48,49.0,0.0,1.62
silikatnyy,10.0,53.99,81.0,0.0,1.72
sistranda,10.0,63.73,93.0,75.0,5.7
sitka,21.03,37.17,70.0,0.0,8.27
slavyanka,22.33,42.86,93.0,92.0,4.77
sokolo,22.78,14.74,95.0,64.0,3.37
sola,13.51,58.89,82.0,20.0,5.1
sorland,11.83,67.67,100.0,80.0,10.02
souillac,16.44,45.6,82.0,0.0,1.0
southbridge,18.8,42.08,88.0,75.0,2.1
soyo,18.88,-6.13,97.0,0.0,1.52
srandakan,30.43,-7.94,48.0,0.0,1.87
srednekolymsk,7.33,67.46,60.0,0.0,3.12
storforshei,5.63,66.4,100.0,92.0,0.92
sur,28.98,22.57,90.0,0.0,1.22
surt,24.13,31.21,100.0,0.0,1.97
svencionys,14.53,55.15,90.0,44.0,1.77
tabou,25.23,4.42,100.0,64.0,5.92
taft,30.48,11.9,85.0,8.0,5.12
talaya,18.78,55.79,66.0,0.0,3.92
talcahuano,14.0,-36.72,28.0,0.0,4.6
talnakh,9.18,69.49,73.0,20.0,2.52
taltal,8.68,-25.41,95.0,20.0,0.62
tambo,14.43,-24.88,43.0,0.0,5.92
tamiahua,29.23,21.28,87.0,0.0,7.72
tanete,31.53,-3.94,51.0,0.0,6.72
taoudenni,28.53,22.68,53.0,48.0,2.62
tarauaca,24.28,-8.16,89.0,20.0,1.22
tasiilaq,4.0,65.61,93.0,64.0,1.0
tautira,28.0,-17.73,65.0,75.0,3.1
te anau,5.73,-45.41,90.0,92.0,1.52
terney,22.93,45.05,76.0,56.0,3.07
tezu,23.53,27.93,90.0,20.0,0.52
thompson,16.0,55.74,55.0,75.0,1.5
tigzirt,12.53,36.57,97.0,12.0,0.52
tiksi,9.73,71.64,100.0,92.0,3.42
tilichiki,9.73,60.47,100.0,92.0,5.92
tirlyanskiy,9.03,54.22,78.0,8.0,2.47
tocopilla,11.73,-22.09,100.0,36.0,1.97
torbay,12.0,47.66,100.0,90.0,3.1
touros,24.53,-5.2,87.0,88.0,6.87
trujillo,17.0,-8.11,88.0,90.0,3.6
tsiroanomandidy,8.83,-18.77,84.0,0.0,2.52
tsuruoka,25.44,38.61,57.0,75.0,1.5
tuatapere,7.88,-46.13,100.0,64.0,1.32
tuktoyaktuk,11.0,69.44,87.0,75.0,3.6
tura,27.43,25.52,93.0,24.0,1.77
tutoia,25.73,-2.76,74.0,0.0,6.77
tuy hoa,30.08,13.08,74.0,80.0,7.37
tveit,6.83,59.92,100.0,76.0,0.97
tynda,13.73,55.15,100.0,100.0,1.42
udachnyy,16.58,66.42,82.0,48.0,2.12
udimskiy,16.03,61.14,96.0,80.0,5.37
ulfborg,17.0,56.27,100.0,0.0,3.6
umba,15.18,66.69,85.0,80.0,7.87
umm kaddadah,20.08,13.6,99.0,92.0,3.92
upernavik,5.33,72.79,91.0,92.0,2.17
ushuaia,7.0,-54.81,85.0,40.0,3.1
ust-ishim,13.48,57.69,77.0,76.0,4.42
ust-nera,14.58,64.57,48.0,24.0,1.17
vaini,21.28,15.34,98.0,100.0,4.17
vaitape,26.43,-16.52,100.0,88.0,1.32
vallam,28.0,10.72,61.0,40.0,5.1
vanimo,28.33,-2.67,100.0,48.0,0.92
vao,13.53,59.1,81.0,76.0,2.37
vardo,21.67,39.62,83.0,75.0,2.6
vermilion,18.0,53.35,48.0,75.0,2.6
vestmannaeyjar,9.93,63.44,97.0,92.0,2.67
victoria,32.0,5.28,70.0,75.0,1.5
vila velha,26.0,-3.71,74.0,40.0,6.2
vilhena,22.08,-12.74,81.0,76.0,2.12
virginia beach,26.0,36.85,41.0,75.0,2.6
visnes,13.43,59.36,71.0,56.0,7.2
vostok,22.43,46.45,76.0,0.0,1.32
vulcan,16.43,50.4,42.0,48.0,3.87
vung tau,28.0,10.35,88.0,40.0,5.1
waingapu,29.08,-9.65,57.0,0.0,4.87
wanaka,6.28,-44.7,64.0,32.0,1.12
warka,17.0,51.79,100.0,0.0,1.22
warren,21.51,42.48,83.0,40.0,2.77
westport,13.73,53.8,99.0,92.0,1.47
wuzhou,27.63,23.48,93.0,64.0,1.32
yabelo,15.33,4.89,85.0,68.0,1.62
yagodnoye,10.23,62.52,50.0,0.0,2.87
yako,22.83,12.96,94.0,0.0,3.42
yanam,25.58,16.73,96.0,92.0,10.62
yate,17.0,51.54,100.0,90.0,2.6
yellowknife,16.0,62.45,63.0,75.0,5.7
yeppoon,20.0,-23.13,14.0,0.0,5.1
yinchuan,26.93,38.48,69.0,0.0,2.32
yining,30.58,29.04,70.0,8.0,1.52
yokadouma,19.18,3.52,99.0,92.0,1.12
yulara,17.0,-25.24,23.0,0.0,5.7
yumen,24.78,40.29,45.0,24.0,2.72
zacualpan,25.25,21.25,100.0,75.0,2.1
zakupne,14.68,49.12,87.0,0.0,1.22
zaozerne,20.58,51.37,72.0,64.0,2.17
zapolyarnyy,11.0,69.43,81.0,88.0,5.1
zhanaozen,18.08,43.35,56.0,0.0,5.17
zhigansk,16.58,66.77,93.0,76.0,1.32
